用户ID,评论内容,购买时间,点赞数,回复数,得分,评价时间,商品

20765157269,货物已经收到了，尝了一下味道非常好，下次一定会再来买！,2024-05-03 09:00:13,0,0,5,2024-05-04 16:30:05,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20748298541,还好啦，非常方便，味道也不错，喜欢！,2024-04-26 10:07:04,0,0,5,2024-04-29 16:02:51,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20709977160,经常购买此熏鱼 ，喜欢此味道。生产日期都是3月份的，快递很快。,2024-04-17 14:17:35,0,0,5,2024-04-19 10:25:52,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20709971261,熏鱼收到，经常购买，感觉味道不错，快递很快。日期很新。,2024-04-17 14:17:35,0,0,5,2024-04-19 10:23:20,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20670459419,送货很快，吃了一袋，味道不错，下次还会买的。,2024-03-19 23:07:47,0,0,5,2024-04-08 11:02:28,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20657454849,嫩，价格实惠，开袋即食，老少皆宜，很好，喜欢,2024-03-06 09:30:09,0,0,5,2024-04-04 17:20:16,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20635626655,熏鱼不错，味道挺好，有点甜，非常酥软 价格也不贵，口感不错,2024-03-26 15:23:19,0,0,5,2024-03-29 18:19:42,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20773490184,这次包装和上次不一样，口感明显没有上次好，这包里面袋子坏了，又在那基础上套了一袋，总体比上次买的差多了,2024-05-03 10:30:25,0,0,1,2024-05-06 20:56:21,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20563062602,上海老味道，口感纯正，物美价廉。,2024-03-08 03:20:36,0,0,5,2024-03-10 11:10:01,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20741390445,刚刚收到，打开吃了一块，味道还可以。,2024-04-25 12:04:50,0,0,5,2024-04-27 19:30:21,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20635524464,熏鱼收到货了，是我家爱吃的鱼，满意。,2024-03-27 15:23:20,0,0,5,2024-03-29 17:50:22,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20768358530,顶好的，口感不错，很好吃。,2024-05-02 15:19:49,0,0,5,2024-05-05 14:47:09,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20753037591,这款萌佳萌上海熏鱼（200g/袋装酥鱼排草鱼块），实物与商家产品描述相符，开袋即食，口感很好，满意的京东网购，快递迅速，谢谢！,2024-03-20 21:31:16,0,0,5,2024-04-30 21:09:50,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20660314131,很好吃，我已回购两次,2024-04-01 17:40:58,0,0,5,2024-04-05 15:02:31,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20613436836,以前就买过这种熏鱼，很好吃的，满意。,2024-03-21 10:14:42,0,0,5,2024-03-23 21:02:07,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
20585480179,很好吃实惠一袋吃了两顿。甜口有汁水不很多，重量是有保证的，物流很快包装完好无损回购&there4;,2024-03-11 17:44:46,0,0,5,2024-03-16 10:33:09,萌佳萌上海熏鱼200g/袋酥鱼排草鱼块苏式爆鱼熟食下酒菜零食常温 上海熏鱼200g*1
